BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,TotalDistanceM
74.1,17.1,-0.6,2766,-11.1,269.4
64.4,10.3,5.6,2180,-19.7,228.8
75.8,19,-2.1,4170,-12.2,235.3
63.4,14.8,-4.8,3159,7.6,225.8
68.8,12.2,-0.3,4512,16.1,223.9
66.6,14.3,4.5,2990,8.8,241.8
37.4,29.4,0.9,5280,4.2,105.1
61.3,14.6,-3.8,3320,0.1,213.6
71.4,10.4,0.8,2130,5.1,271.2
41.4,21.7,-3.4,7570,7.9,116.9
55.9,0.1,1.9,2568,36.6,59.1
45.7,18.4,-1.8,3700,-10.5,149.4
64.6,8.5,0.2,2890,10.8,229
58,4.6,-2.1,2520,-53.2,149.8
61.7,5.5,-4.1,1360,-13.5,194.9
58.3,20,4.9,4710,10.4,183.6
67.7,12.1,1,2350,-5.3,256.2
46.5,28,-0.4,4851,2.3,134.7
62.8,13.5,0.5,3590,21,216.8
50.3,12.4,-3,970,-20.7,168.6
13.5,15.8,-4.2,1940,-17.6,21.9
73.8,10.4,2,2630,2,276.1
51.4,19.9,4.3,4797,16.5,161.3
62.6,19.2,11.8,4590,17.8,198.1
46.6,8.4,-4.1,1790,-28.7,135
54.8,2.1,-7.2,2160,-24.4,126.8
59.8,3.1,-1.4,1380,-32.5,145.7
46.4,21.4,5,7480,-4.4,129.3
62.8,13,-2.8,2910,-27,222.7
69,17.6,5.3,3810,-3.7,226
66.5,8.9,-2.9,2716,-43.8,216.5
66.9,17.7,5.2,4250,-2.8,217.4
58.3,22,1.2,5310,10.9,172.6
67.4,11.5,4.4,2460,-16.4,242.9
44,23,3.6,5450,0.7,130.8
61.4,16.8,1.3,3550,10.2,210.8
40.1,6.9,-2,4432,28.4,98.7
51.7,18.7,-3.3,5063,-15.6,160
42,16,2.5,4490,15,128.2
55.4,19.5,-0.4,4070,12.6,182.5
59.2,13.3,6.1,2420,18.2,213.8
