BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,CarryDistanceM
54,7.5,-2.7,2700,-5.4,142.5
52.8,5.6,-3.9,2610,-21.1,113.2
64.2,11.3,-3,2480,-25.4,200.7
67.1,10.9,2.6,2140,-11,220
45.4,22.1,-12.4,6970,-12.5,123.5
73.7,14.9,2,3220,2.5,246.4
62.3,1,-5.6,2040,-33.8,56.9
53.7,15.4,-0.6,3120,-11.1,168.7
65.2,1.4,-0.6,2120,-4.3,114.4
57.1,23.5,0,5222,-10.3,165.4
56.6,16.6,0,4070,1.4,176.7
52.9,12.1,2.4,1420,8.9,143.6
57.5,15.4,-2.7,2490,-6.7,189.1
56.3,14.3,-1.9,1762,10.6,175.4
60.3,12.8,0.8,6120,6.9,175.4
68.4,16.1,0.9,2640,1.4,239
55.5,16.3,2.5,6560,-3.8,157.2
66.8,9,-8.1,2690,-16.9,211.8
60.2,13.6,-2.7,3617,-7,193.3
45,16.7,3.4,7703,9.3,120.4
72,15.1,1.3,3170,-4.3,243.5
51.1,4.2,-14.6,3210,-72.8,45.9
65.2,12.6,0.3,2238,-25.6,208.8
61.3,11.8,2.3,2910,-12.3,197.5
53.6,8.2,2.5,2740,5.2,145.3
32.4,15.9,-5.1,4310,-2,68.7
60.3,12.8,0.1,2910,9.6,195.7
64.6,15.9,0.1,2610,-15,220.7
52.3,12.2,-4.4,4020,-22.8,149.5
65.6,13.3,1.5,2611,0.6,223.5
63,4.4,-4.7,1920,-22,134.5
67.5,15.1,0.4,2430,4.2,236
62.4,11.2,0.4,3110,5.5,202.6
66,13.3,1.3,3090,-4.4,222.1
31.3,11.8,-8.5,3070,-21.3,52.6
56,8.8,-7.4,4451,-11.6,162.1
71,14.5,0.3,2561,1.8,247.6
72,10.8,0.1,2473,6.3,246.5
65.1,11.5,0.6,2740,-3.4,216.6
67.5,10.7,-4.7,3335,0,223.3
56.1,18.5,1.4,4090,-10.1,173.9
64.5,10.5,0.7,2230,-34.9,187.3
63.7,10.9,0.6,2079,-11.1,198.1
67.8,5,2.7,1470,-6.6,165.8
59.1,9.7,0.8,4888,15.2,165.6
57.7,13.1,6.6,3874,29.4,162.5
61.2,16.8,-2.2,4763,-0.6,187.3
61.6,17.2,3.4,2980,10.2,207.1
53.3,4.6,-0.4,1690,-17.2,87
62.6,18,3.4,4730,18.6,190.2
55.7,7.3,0,2650,-7.8,150.2
45.8,17,-0.4,2950,-2.2,133.7
55.4,21.1,6.7,6030,17.9,157.7
70.3,17.8,-0.3,2406,-10.1,242.3
66.4,11.3,4.4,2150,0.1,220.2
63.1,10.8,2.4,1590,6.3,193
60.2,15.3,-3.8,3444,-8.8,195.4
74.1,17.1,-0.6,2766,-11.1,257
64.4,10.3,5.6,2180,-19.7,197.5
75.8,19,-2.1,4170,-12.2,232.2
63.4,14.8,-4.8,3159,7.6,209.8
68.8,12.2,-0.3,4512,16.1,214
66.6,14.3,4.5,2990,8.8,225.9
37.4,29.4,0.9,5280,4.2,98
61.3,14.6,-3.8,3320,0.1,198.4
71.4,10.4,0.8,2130,5.1,240.9
41.4,21.7,-3.4,7570,7.9,113.1
55.9,0.1,1.9,2568,36.6,3.9
45.7,18.4,-1.8,3700,-10.5,133
64.6,8.5,0.2,2890,10.8,203.5
58,4.6,-2.1,2520,-53.2,86.2
61.7,5.5,-4.1,1360,-13.5,133.1
58.3,20,4.9,4710,10.4,176.3
67.7,12.1,1,2350,-5.3,230.1
46.5,28,-0.4,4851,2.3,129
62.8,13.5,0.5,3590,21,200.1
50.3,12.4,-3,970,-20.7,123.8
13.5,15.8,-4.2,1940,-17.6,10.4
73.8,10.4,2,2630,2,253.4
51.4,19.9,4.3,4797,16.5,151
62.6,19.2,11.8,4590,17.8,190.7
46.6,8.4,-4.1,1790,-28.7,88.7
54.8,2.1,-7.2,2160,-24.4,67.1
59.8,3.1,-1.4,1380,-32.5,76.6
46.4,21.4,5,7480,-4.4,124.7
62.8,13,-2.8,2910,-27,199
69,17.6,5.3,3810,-3.7,218.7
66.5,8.9,-2.9,2716,-43.8,177.9
66.9,17.7,5.2,4250,-2.8,210.6
58.3,22,1.2,5310,10.9,168.2
67.4,11.5,4.4,2460,-16.4,219.3
44,23,3.6,5450,0.7,122.4
61.4,16.8,1.3,3550,10.2,198.2
40.1,6.9,-2,4432,28.4,65.9
51.7,18.7,-3.3,5063,-15.6,151
42,16,2.5,4490,15,110.8
55.4,19.5,-0.4,4070,12.6,171.6
59.2,13.3,6.1,2420,18.2,188.1
59.9,19.2,-4.6,4743,2.8,180
51.5,5.4,-6.9,2480,-39.3,86.3
61.9,12.8,0.2,2672,3.2,202.7
67.2,13.7,4.3,2203,-5.7,231.8
73.4,7.9,5,3515,-1.5,241.1
61.6,1.5,-5.6,2312,-30.2,77.8
67.7,5.6,3.3,1340,-38.7,142.6
64.1,10.7,-2.4,2490,-27,196.8
69.7,15.1,-0.1,2888,7.5,236.8
37.9,13.9,-0.5,2175,11.8,84.9
57.2,19.7,0.4,3800,17.9,179.8
32.5,13.3,3.3,2342,-7.2,56.4
55.3,14.1,2.1,2090,16.1,170
68.8,10.2,1.8,3261,-13.6,225.8
64.2,15.1,7.1,3500,4.4,204.6
64.8,15.1,5.3,3270,6.6,216.7
36.9,0.9,0.7,3446,-1,8.5
44.3,16.4,-4.5,3440,8.4,125.4
55.6,7.8,-3.2,2440,-4.1,149.1
63.8,14.8,6.3,5210,17.3,191
65.9,12.1,2.4,2814,-1.1,221.4
64.3,10.7,-2.6,2360,-25,195.8
48.4,15.7,2.5,3510,-6.9,143.7
51.5,9.9,1.6,1720,0.8,128.6
14.1,20.4,-7.7,2660,-14.7,14
66.4,12.4,1.8,2560,3.3,225.2
58.2,8.5,-2.6,3000,-7.8,173.1
63,17.2,-1.2,4200,12,197.8
69.3,13.1,0.5,2997,-4.1,236.1
70.9,16.6,2.3,2584,2.7,246.5
58.3,19.1,12.7,3070,22,189.6
66.1,15.6,7.4,3650,1.1,209.4
56.3,15.9,4.9,5435,3.1,164.9
59.8,17.9,4.7,2900,5.8,197.7
63.7,10.3,3.8,3816,-1.6,202.6
74.2,16,0.7,3285,-2.3,246.1
24.8,24.7,4.8,2710,-2.4,48.9
69.6,16.6,-2,3250,-0.3,235.1
60.3,11.4,4.8,2925,10.7,192.1
63.6,13.5,6.1,2870,-14.3,206.1
62,19.4,4.8,3180,4.3,206.7
45,35.2,-1.8,8690,-4.2,109.8
51.8,6.7,-3.3,2320,-6,118.7
37.1,22.8,-4.9,3830,-5.2,98.5
57.9,17.8,1.1,6350,2.4,164.8
63.7,7.5,-3.1,3375,-4.8,198.3
23.8,19.2,2.6,2000,-2.4,39
38.2,17.9,1.1,3370,-4.3,99
52.7,21.8,0.7,5230,11.7,148.2
57.9,7.5,5.2,6683,34.9,141.8
11.3,27.8,0.5,3060,-11.4,10.8
55.9,11.4,-2.1,3410,-10,170.6
56,15.5,1,3470,4.1,178.2
65.8,12.9,-3.6,2820,-17.4,213.6
39.8,12.1,7.9,5756,37.8,83.1
60.5,14.3,-0.4,3309,2.1,195.6
40.6,14.2,-4.3,3540,6.5,103.5
75.1,9.5,2,2240,-23.7,245.2
67.2,17.7,-6.3,5723,-3.1,194.8
64.8,19.1,2.1,4677,6,197
43.2,20.7,8.9,4120,1.7,123
62.1,12.2,1.1,3050,-9,203
63.7,11.8,-0.1,1787,-3.8,204.8
53.6,18.3,2.9,3820,11.6,166
54.1,17.3,-1.4,5940,1.6,155.4
25.2,15.2,24.8,5930,41.8,35.8
59.8,17.4,1.8,4805,9.5,163.7
62.5,10.2,-0.8,2450,-7.1,197.4
58.1,13.2,6.7,5091,8.4,173.9
57.5,17.1,-3.3,3460,-0.5,185.7
73.9,18.3,-1.2,2998,-12.3,251.3
61.4,17.8,-0.9,4686,17,184.2
63.1,6.4,-2.6,1420,-13.7,151.9
60.6,11.4,5.6,4689,2,184.8
61.9,11.8,1.2,3910,-5.1,193.7
60.3,16.6,-3.1,3051,-2.9,197.9
20.9,32.9,4.9,2320,5.7,39.1
64.5,10.5,3.1,1892,-13.1,200.7
47.5,15.8,8.4,2830,8.8,140.4
62.4,11.2,-1.1,2587,-22.8,194.1
34.1,23.6,1.5,4030,5.9,84.5
11.5,31.6,-3.1,3050,1,12
15.4,11,3.8,1600,11.9,10.1
65.2,11.1,1.8,3330,-7.5,213.4
60,10.3,-6.4,2750,-17.3,183.7
57.8,15.1,3.5,3350,5.6,186.6
31.2,42.8,-17.1,6870,-13.8,68.4
70.4,13.7,5.4,2920,15.5,239.8
63.8,15.5,1.3,2600,2.4,216.2
65.4,12.9,1,2853,-13.9,218.2
42.8,31.3,1.7,7270,0.2,110.4
75.8,15.7,-2.3,2490,-9.5,265.9
