BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,MaxHeightDistanceM
54.1,17.3,-1.4,5940,1.6,104
25.2,15.2,24.8,5930,41.8,19
59.8,17.4,1.8,4805,9.5,115.5
62.5,10.2,-0.8,2450,-7.1,124.7
58.1,13.2,6.7,5091,8.4,116.9
57.5,17.1,-3.3,3460,-0.5,122
73.9,18.3,-1.2,2998,-12.3,173.3
61.4,17.8,-0.9,4686,17,125.7
63.1,6.4,-2.6,1420,-13.7,88.9
60.6,11.4,5.6,4689,2,125.3
61.9,11.8,1.2,3910,-5.1,130.9
60.3,16.6,-3.1,3051,-2.9,130.3
20.9,32.9,4.9,2320,5.7,21.8
64.5,10.5,3.1,1892,-13.1,123.5
47.5,15.8,8.4,2830,8.8,85
62.4,11.2,-1.1,2587,-22.8,121.9
34.1,23.6,1.5,4030,5.9,50.1
11.5,31.6,-3.1,3050,1,6.4
15.4,11,3.8,1600,11.9,5.1
65.2,11.1,1.8,3330,-7.5,142.7
60,10.3,-6.4,2750,-17.3,115.8
57.8,15.1,3.5,3350,5.6,121.6
31.2,42.8,-17.1,6870,-13.8,44.9
70.4,13.7,5.4,2920,15.5,160.3
63.8,15.5,1.3,2600,2.4,141
65.4,12.9,1,2853,-13.9,142.7
42.8,31.3,1.7,7270,0.2,73.4
75.8,15.7,-2.3,2490,-9.5,179.7
66,13.3,3,2790,6.6,147.3
73.4,16.4,-0.4,2630,-9.6,170.4
51.9,12.1,-5.5,4170,-21.6,93.6
68.5,12.6,0.8,2270,-11.7,149.9
46.5,18.6,-5.1,7402,13,79.4
71.9,12.7,-0.7,2622,-9.3,165.6
67.9,14,2.1,2434,0.5,153.6
67.6,4.7,1.2,1230,-30.6,80.5
43,25.5,0,5710,-7.5,75.2
31.7,21.1,2.2,3850,7.6,41.9
62.7,13.8,9.3,3280,2.1,137.5
71.4,12.3,0,1830,-11.7,154.6
50.8,5.5,-3,2710,-5.9,68.8
55.9,4.3,-3,2240,-19.2,62.3
58.5,16,3.4,4810,9.3,119.7
77,10.6,1.6,3335,-2.2,181.5
70,15.2,-0.6,2850,-2.8,160
56.2,11.7,2.5,3140,-1.5,111.3
66.7,8.9,4.3,1720,-10.1,123.5
27.9,35.6,15.8,3411,12.2,38.1
56.6,23.3,3,4750,3.1,114.1
48,11.7,2.5,1910,3.4,71.7
74.3,13.2,0.1,3940,-5.9,167.4
54.5,15.4,2.3,3710,-16,108.4
33.3,27.9,-8.7,7712,12.1,47.6
22,26,-2,5850,-4.2,21.6
35.1,7.6,5.4,3359,64.8,19.4
57,1.4,-8.7,3085,-66,14.1
62.4,6.8,4.7,1690,0.5,96.3
68.8,14.5,6.3,3090,4.8,158.1
66.1,11.8,0.2,2365,0.3,142.3
64.7,12.7,-2.4,2730,-21.6,135.6
11.5,40.9,-2.2,2920,-1.2,7.2
67.4,11.3,0.3,3383,2.1,151.2
63.3,8.1,0.6,1570,-59.7,68.6
61.9,7.3,-1.7,1990,-27.7,92.4
52.5,20,-2.4,3882,-12.9,105
32.3,27.3,-2.7,3850,6.3,47.2
64.3,10,-0.5,1340,-17.7,110.2
41.6,23.9,2.8,7864,-3.8,69.6
67,11.5,-2.6,2080,-28.8,129.5
73.2,12.9,-0.4,2080,-14.3,164
